Year(4)-CountyCode(2)-MunicipalityCode(2)-CaseNumber,County Name,Municipality Name,Crash Date,Crash Day of Week,Crash Time,Police Department Code,Police Department,Police Station,Total Killed,Total Injured,Pedestrians Killed,Pedestrians Injured,Severity,Intersection,Alcohol Involved,Hazmat Involved,Crash Type,Total Vehicles,Location,Location Direction,Route,Route Suffix,Std Rte Identifier,MilePost,Road System,Road Character,Road Horizontal Alignment,Road Grade,Road Surface Type,Surface Condition,Light Condition,Environmental Condition,Road Divided By,Temporary Traffic Control Zone,Distance To Cross Street,Unit Of Measurement,Direction From Cross Street,Cross Street Name,Is Ramp,Ramp To/From Route Name,Ramp To/From Route Direction,Posted Speed,Posted Speed Cross Street,First Harmful Event,Latitude,Longitude,Cell Phone In Use Flag,Other Property Damage,Reporting Badge No.
2019132619MN30483,MONMOUTH,MANALAPAN TWP,12/17/2019,TU,1844,01,MANALAPAN TWP PD,,0,0,0,0,P,B,N,N,03,2,MONMOUTH COUNTY 3,W,3,,13000003__,3.33,05,,01,04,02,02,07,02,05,01,450,FE,N,TOWNE DR,,,,40,25,26,40.314060,74.307830,N,,26144
2019132619MN30484,MONMOUTH,MANALAPAN TWP,12/17/2019,TU,1859,01,MANALAPAN TWP PD,,0,1,0,0,I,B,N,N,03,2,MONMOUTH COUNTY 3,S,3,,13000003__,1.09,05,,01,04,02,02,07,02,05,,100,FE,N,CHURCH LN,,,,40,25,26,,,N,,26136
2019132619MN30519,MONMOUTH,MANALAPAN TWP,12/18/2019,WE,0646,01,MANALAPAN TWP PD,,0,0,0,0,P,B,N,N,12,1,THOMPSON GROVE RD **,,,,13261175__,.05,07,,01,04,02,01,01,01,05,,250,FE,N,MILL RD / THOMPSON GROVE RD,,,,40,40,24,,,N,,26158
2019132619MN30521,MONMOUTH,MANALAPAN TWP,12/18/2019,WE,0710,01,MANALAPAN TWP PD,,0,1,0,0,I,B,N,N,01,2,MONMOUTH COUNTY 3,N,3,,13000003__,.78,05,,01,04,02,01,01,01,05,01,100,FE,S,ROUTE 522,,,,35,40,26,40.281590,74.330580,N,,26118
2019132619MN30544,MONMOUTH,MANALAPAN TWP,12/18/2019,WE,1330,01,MANALAPAN TWP PD,,0,0,0,0,P,B,N,N,02,2,US 9,S,9,,00000009__,117.95,02,,01,04,02,01,01,01,02,01,2640,FE,N,TAYLORS MILLS RD,,,,55,40,26,40.311060,74.304550,N,,26118
2019132619MN30618,MONMOUTH,MANALAPAN TWP,12/19/2019,TH,1333,01,MANALAPAN TWP PD,,0,0,0,0,P,B,N,N,01,2,US 9,S,9,,00000009__,117.70,02,,01,04,02,01,01,01,02,01,1320,FE,N,TAYLORS MILLS RD,,,,55,35,26,40.306490,74.304670,N,,26116
2019132619MN30632,MONMOUTH,MANALAPAN TWP,12/19/2019,TH,1514,01,MANALAPAN TWP PD,,0,0,0,0,P,B,N,N,01,2,WICKATUNK RD,W,,,13261117__,,07,,01,04,02,01,01,01,,,500,FE,E,CR 3,,,,35,45,26,40.318520,74.303760,N,,26098
2019132619MN30724,MONMOUTH,MANALAPAN TWP,12/20/2019,FR,1441,01,MANALAPAN TWP PD,STATION,0,1,0,0,I,B,N,N,01,3,US 9,N,9,,00000009__,119.11,02,,01,04,02,01,01,01,02,01,30,FE,S,COVERED BRIDGE BLVD,,,,55,25,26,40.327110,74.305620,N,,
2019132619MN30731,MONMOUTH,MANALAPAN TWP,12/20/2019,FR,1714,01,MANALAPAN TWP PD,,0,0,0,0,P,B,N,N,01,2,ROUTE 522,E,522,,00000522__,16.28,05,,01,04,02,01,03,01,05,01,50,FE,W,NJ 3 / MAIN ST / TENNANT ST,,,,45,35,26,40.281590,74.330580,N,,26152
2019132619MN30870,MONMOUTH,MANALAPAN TWP,12/22/2019,SU,1411,01,MANALAPAN TWP PD,,0,0,0,0,P,I,N,N,03,2,WOODWARD RD,W,,,13261001__,.00,07,,01,04,02,01,01,01,05,01,,AT,,ROUTE 527 / MILLHURST RD,,,,35,45,26,40.274740,74.342730,N,,26105
2019132619MN30933,MONMOUTH,MANALAPAN TWP,12/23/2019,MO,1036,01,MANALAPAN TWP PD,,0,0,0,0,P,B,N,N,06,2,GORDONS CORNER,E,,,,,07,,01,04,02,01,01,01,05,01,1320,FE,W,TENNENT ROAD,,,,45,40,26,40.316510,74.310450,N,,26128
2019132619MN31043,MONMOUTH,MANALAPAN TWP,12/24/2019,TU,1210,01,MANALAPAN TWP PD,MANALAPAN PD,0,0,0,0,P,B,N,N,08,2,LONE STAR LN,,,,,,07,,01,04,02,01,01,01,05,01,50,FE,E,WILSON AVE,,,,25,35,28,40.309770,74.359610,N,,26142
2019132619MN31050,MONMOUTH,MANALAPAN TWP,12/24/2019,TU,1444,01,MANALAPAN TWP PD,,0,1,0,0,I,I,N,N,01,2,US 9,N,9,,00000009__,117.45,02,,01,04,02,01,01,01,05,01,,AT,,TAYLORS MILLS RD,,,,55,35,26,40.302680,74.303060,N,,26152
2019132619MN31059,MONMOUTH,MANALAPAN TWP,12/24/2019,TU,1744,01,MANALAPAN TWP PD,,0,0,0,0,P,B,N,N,01,2,SYMMES DR,,,,13261138__,1.46,07,,01,04,02,01,06,01,05,01,50,FE,W,US 9,,,,35,55,26,,,N,,26158
2019132619MN31111,MONMOUTH,MANALAPAN TWP,12/25/2019,WE,2209,01,MANALAPAN TWP PD,,0,0,0,0,P,B,N,N,06,3,CENTURY WAY,E,,,,,07,,01,04,02,01,07,01,05,01,25,FE,W,RUMFORD WAY,,,,25,25,28,40.282710,74.311300,N,,
2019132619MN31129,MONMOUTH,MANALAPAN TWP,12/26/2019,TH,0947,01,MANALAPAN TWP PD,,0,0,0,0,P,B,N,N,01,2,NJ 33,E,33,,00000033__,22.59,02,,01,04,02,01,01,05,,,50,FE,W,WOODWARD RD,,,,55,35,26,40.253810,74.368340,N,,26139
2019132619MN31150,MONMOUTH,MANALAPAN TWP,12/26/2019,TH,1357,01,MANALAPAN TWP PD,,0,0,0,0,P,B,N,N,01,2,US 9,N,9,,00000009__,116.99,02,,01,04,02,01,01,01,02,01,1320,FE,S,SMALLWOOD LN / PLAZA CT,,,,55,25,26,40.299460,74.302700,N,,26159
2019132619MN31151,MONMOUTH,MANALAPAN TWP,12/26/2019,TH,1405,01,MANALAPAN TWP PD,,0,0,0,0,P,B,N,N,12,1,TAYLORS MILLS RD,E,,,13261530__,.54,07,,01,04,02,01,01,01,05,01,5,FE,E,BLUE JAY CT,,,,35,25,24,40.297300,74.339860,N,,26128
2019132619MN31212,MONMOUTH,MANALAPAN TWP,12/27/2019,FR,0917,01,MANALAPAN TWP PD,,0,0,0,0,P,B,N,N,01,2,US 9,N,9,,00000009__,116.66,02,,01,04,02,01,01,01,02,01,500,FE,S,RYAN RD / SYMMES RD,,,,55,25,26,,,N,,26139
2019132619MN31250,MONMOUTH,MANALAPAN TWP,12/27/2019,FR,1706,01,MANALAPAN TWP PD,,0,0,0,0,P,B,N,N,05,2,ROUTE 522,E,522,,00000522__,17.00,05,,01,04,02,01,03,01,,,1320,FE,E,TENNENT ROAD,,,,45,40,26,40.290630,74.342870,N,,26146
2019132619MN31296,MONMOUTH,MANALAPAN TWP,12/28/2019,SA,0448,01,MANALAPAN TWP PD,,0,0,0,0,P,B,N,N,02,2,US 9,S,9,,00000009__,118.80,02,,01,04,02,01,07,01,02,01,200,FE,N,PINE BROOK RD,,,,55,35,26,40.322530,74.305810,N,,26153
2019132619MN31326,MONMOUTH,MANALAPAN TWP,12/28/2019,SA,1345,01,MANALAPAN TWP PD,,0,1,0,0,I,B,N,N,01,2,US 9,S,9,,00000009__,117.95,02,,01,04,02,01,01,01,02,01,2640,FE,N,TAYLORS MILLS RD,,,,55,35,26,40.309350,74.304750,N,,26116
2019132619MN31470,MONMOUTH,MANALAPAN TWP,12/30/2019,MO,1251,01,MANALAPAN TWP PD,,0,0,0,0,P,B,N,N,01,2,US 9,N,9,,00000009__,116.66,02,,01,04,02,02,01,02,02,01,500,FE,S,RYAN RD / SYMMES RD,,,,55,25,26,40.293260,74.298670,N,,26139
2019132619MN31481,MONMOUTH,MANALAPAN TWP,12/30/2019,MO,1504,01,MANALAPAN TWP PD,,0,1,0,0,I,B,N,N,03,2,SYMMES ROAD,W,,,,,07,,01,04,02,02,01,02,05,01,300,FE,W,US HIGHWAY 9,,,,35,55,26,40.293260,74.298670,N,,26139
2019132619MN31486,MONMOUTH,MANALAPAN TWP,12/30/2019,MO,1702,01,MANALAPAN TWP PD,,0,0,0,0,P,B,N,N,03,2,FRANKLIN LANE,,,,,,08,,01,04,02,02,07,02,,,,,,COMMUTER LOT,,,,,,26,,,N,,26134
2019132619MN3211883,MONMOUTH,MANALAPAN TWP,05/12/2019,SU,1242,01,MANALAPAN TWP PD,,0,0,0,0,P,B,N,N,06,2,55 US HIGHWAY 9,,,,,,09,,01,04,02,02,01,02,,,,,,PARKING LOT OF WEGMANS,,,,,,28,40.289880,74.298150,N,,26141
2019132619MN32369,MONMOUTH,MANALAPAN TWP,09/20/2019,FR,1815,01,MANALAPAN TWP PD,,0,0,0,0,P,B,N,N,01,2,US 9,S,9,,00000009__,117.46,02,,01,04,02,01,01,01,02,01,50,FE,N,TAYLORS MILLS RD,,,,55,35,26,40.302680,74.303060,N,,26149
2019132619MN33047,MONMOUTH,MANALAPAN TWP,12/12/2019,TH,1855,01,MANALAPAN TWP PD,,0,0,0,0,P,B,N,N,12,1,NJ 33,E,33,,00000033__,23.30,02,,01,04,02,01,06,01,03,01,250,FE,E,PEGASUS BLVD,,,,55,35,24,,,N,,26158
2019132619MNN11903,MONMOUTH,MANALAPAN TWP,05/12/2019,SU,1829,01,MANALAPAN TWP PD,,0,1,0,0,I,B,N,N,01,2,NJ 33,W,33,,00000033__,24.10,02,,01,04,02,02,01,02,03,01,500,FE,E,ROUTE 527 / MILLHURST RD / SWEETMAN,,,,55,35,26,40.254370,74.340510,N,,26145
20191326C060-2019-00230A,MONMOUTH,MANALAPAN TWP,02/14/2019,TH,0233,02,NEW JERSEY STATE POLICE,HAMILTON-SUB -,0,0,0,0,P,B,N,N,12,1,ROUTE 527 ALTERNATE,N,527,A,00000527A_,.80,07,,01,04,02,01,05,01,05,01,,,,,,,,35,,24,40.201500,74.429100,N,,8262
20191326C060-2019-00441A,MONMOUTH,MANALAPAN TWP,04/01/2019,MO,1705,02,NEW JERSEY STATE POLICE,HAMILTON-SUB -,0,0,0,0,P,B,N,N,01,2,ROUTE 527,S,527,,00000527__,24.48,05,,01,04,02,01,01,01,05,01,528,FE,N,CR 1 / ROUTE 527 ALT / SWEETMANS LA,,,,45,45,26,40.215010,74.356940,N,,8262
20191326C060-2019-01131A,MONMOUTH,MANALAPAN TWP,08/08/2019,TH,0845,02,NEW JERSEY STATE POLICE,HAMILTON-SUB -,0,0,0,0,P,B,N,N,08,2,ROUTE 527,N,527,,00000527__,24.30,05,,01,05,02,01,01,01,05,01,,,,,,,,40,,26,40.232470,74.369680,N,,8360
20191326C060-2019-01140A,MONMOUTH,MANALAPAN TWP,08/09/2019,FR,1136,02,NEW JERSEY STATE POLICE,HAMILTON-SUB -,0,0,0,0,P,B,N,N,01,2,SMITHBURG RD,S,,,,,07,,01,04,02,01,01,01,04,01,,,,BAIRD ROAD,,,,45,35,26,40.242350,74.384200,N,,8111
20191326C060-2019-01398A,MONMOUTH,MANALAPAN TWP,09/25/2019,WE,1529,02,NEW JERSEY STATE POLICE,HAMILTON-SUB -,0,0,0,0,P,B,N,N,01,2,NJ 33,E,33,,00000033__,22.00,02,,01,04,02,01,01,01,03,01,,,,IRON ORE ROAD,,,,55,35,26,40.258610,74.396330,N,,8014
2019132718-4570-AC,MONMOUTH,MANASQUAN BORO,05/01/2019,WE,1619,01,MANASQUAN PD,,0,0,0,0,P,B,N,N,06,2,ABE VORHEES AVE **,,,,13271086__,.06,07,,01,04,02,01,01,05,02,01,300,FE,E,CR 20 / SOUTH ST,,,,25,25,28,,,N,,59
2019132719-10019-AC,MONMOUTH,MANASQUAN BORO,07/28/2019,SU,0842,01,MANASQUAN PD,,0,0,0,0,P,I,N,N,06,2,WHITING AVE **,,,,13271008__,.00,07,,01,04,02,01,01,01,05,01,,AT,,THIRD AVE,,,,25,,26,,,N,,244
2019132719-10096-AC,MONMOUTH,MANASQUAN BORO,07/29/2019,MO,2004,01,MANASQUAN PD,,0,1,0,0,I,B,N,N,03,2,NJ 71,,71,,00000071__,1.07,02,,01,04,02,01,03,01,05,01,50,FE,N,MAIN ST,,,,30,25,26,,,N,,67
2019132719-10123-AC,MONMOUTH,MANASQUAN BORO,07/30/2019,TU,1557,01,MANASQUAN PD,,0,0,0,0,P,B,N,N,06,2,MONMOUTH COUNTY 20,,20,,13000020__,2.50,05,,01,04,02,01,01,01,05,01,50,FE,S,CR 49 / SEA GIRT AVE,,,,30,35,28,,,N,,67
2019132719-10127-AC,MONMOUTH,MANASQUAN BORO,07/30/2019,TU,1716,01,MANASQUAN PD,,0,1,0,0,I,B,N,N,01,2,E MAIN ST,,,,,,07,,01,04,02,01,01,01,05,01,30,FE,E,NJ 71,,,,25,30,26,,,N,,67
2019132719-10131-AC,MONMOUTH,MANASQUAN BORO,07/30/2019,TU,1925,01,MANASQUAN PD,,0,1,0,0,I,B,N,N,14,1,MAIN ST **,,,,13271082__,,07,,01,04,02,01,01,01,05,01,200,FE,E,NJ 71,,,,25,30,21,,,N,,6201
2019132719-10132-AC,MONMOUTH,MANASQUAN BORO,07/30/2019,TU,1935,01,MANASQUAN PD,,0,1,0,0,I,B,N,N,14,2,FIRST AVE **,,,,13271081__,.00,07,,01,04,02,01,01,01,05,01,50,FE,S,E MAIN ST,,,,25,25,21,,,N,,
2019132719-10195-AC,MONMOUTH,MANASQUAN BORO,08/01/2019,TH,1327,01,MANASQUAN PD,,0,0,0,0,P,B,N,N,06,2,OCEAN AVE **,,,,13271026__,.32,07,,01,04,02,01,01,01,05,01,450,FE,E,POTTER AVE,,,,25,25,26,,,N,,202
2019132719-10198-AC,MONMOUTH,MANASQUAN BORO,08/01/2019,TH,1354,01,MANASQUAN PD,,0,0,0,0,P,B,N,N,06,2,BRIELLE RD / E MAIN ST / FIRST AVE / FISK AVE,,,,13081097__,2.35,07,,01,,,01,01,01,04,,,,,,,,,25,,,,,N,,6133
2019132719-10201-AC,MONMOUTH,MANASQUAN BORO,08/01/2019,TH,1512,01,MANASQUAN PD,,0,1,0,0,I,I,N,N,03,2,MONMOUTH COUNTY 20,,20,,13000020__,2.51,05,,01,04,02,01,01,01,05,01,,AT,,CR 49 / SEA GIRT AVE,,,,30,35,26,,,N,,66
2019132719-10260-AC,MONMOUTH,MANASQUAN BORO,08/02/2019,FR,1926,01,MANASQUAN PD,,0,1,0,0,I,B,N,N,01,3,BRIELLE RD / E MAIN ST / FIRST AVE / FISK AVE,,,,13081097__,1.70,07,,01,04,02,01,01,01,04,01,30,FE,W,N POTTER AVE / S POTTER AVE,,,,25,25,26,,,N,,
2019132719-10566-AC,MONMOUTH,MANASQUAN BORO,08/06/2019,TU,2215,01,MANASQUAN PD,PATROL,0,1,0,0,I,B,N,N,14,1,ABE VORHEES AVE **,,,,13271086__,.08,07,,01,04,02,01,06,01,02,01,100,FE,S,VM PRESTON WAY,,,,25,25,26,,,N,,57
2019132719-10643-AC,MONMOUTH,MANASQUAN BORO,08/08/2019,TH,2242,01,MANASQUAN PD,PATROL,0,0,0,0,P,B,Y,N,11,1,SECOND AVE **,,,,13271012__,.15,07,,01,04,02,01,07,01,05,01,1000,FE,S,E MAIN ST,,,,25,25,56,,,N,,57#57
2019132719-10673-AC,MONMOUTH,MANASQUAN BORO,08/09/2019,FR,1300,01,MANASQUAN PD,,0,0,0,0,P,B,N,N,03,2,BRIELLE RD / E MAIN ST / FIRST AVE / FISK AVE,,,,13081097__,2.34,07,,01,04,02,01,01,01,05,01,100,FE,E,NJ 71 / UNION AVE,,,,25,30,26,,,N,,67
2019132719-10857-AC,MONMOUTH,MANASQUAN BORO,08/11/2019,SU,0944,01,MANASQUAN PD,,0,0,0,0,P,B,N,N,03,2,BRIELLE RD / E MAIN ST / FIRST AVE / FISK AVE,,,,13081097__,2.34,07,,01,04,02,01,01,01,05,01,100,FE,E,NJ 71 / UNION AVE,,,,25,30,26,,,N,,239
2019132719-10864-AC,MONMOUTH,MANASQUAN BORO,08/11/2019,SU,1126,01,MANASQUAN PD,,0,0,0,0,P,I,N,N,03,2,BRIELLE RD / E MAIN ST / FIRST AVE / FISK AVE,W,,,13081097__,1.05,07,,01,04,02,01,01,01,05,01,,AT,,3RD AVE,,,,25,25,26,,,N,,212
2019132719-110-AC,MONMOUTH,MANASQUAN BORO,01/03/2019,TH,2113,01,MANASQUAN PD,,0,0,0,0,P,B,Y,N,08,2,NJ 71,,71,,00000071__,1.20,02,,01,04,02,01,06,01,05,01,792,FE,S,STOCKTON LAKE BLVD,,,,30,25,26,,,N,,66
2019132719-11094-AC,MONMOUTH,MANASQUAN BORO,08/16/2019,FR,1155,01,MANASQUAN PD,,0,1,0,0,I,B,N,N,14,1,BRIELLE RD / E MAIN ST / FIRST AVE / FISK AVE,,,,13081097__,2.31,07,,01,04,02,01,01,01,05,01,70,FE,W,NJ 71 / UNION AVE,,,,25,30,21,,,N,,66
2019132719-11119-AC,MONMOUTH,MANASQUAN BORO,08/16/2019,FR,2111,01,MANASQUAN PD,MANASQUAN,0,1,0,0,I,B,N,N,11,1,N MAIN ST **,,,,13271001__,.30,07,,01,04,02,01,06,01,05,01,200,FE,S,ATLANTIC AVE,,,,25,35,52,,,N,,68
2019132719-11221-AC,MONMOUTH,MANASQUAN BORO,08/17/2019,SA,1911,01,MANASQUAN PD,MANASQUAN,0,0,0,0,P,B,N,N,08,2,LONG AVE **,E,,,13271004__,,07,,01,04,02,01,03,01,05,01,,,E,LONG AVE,,,,25,25,26,,,N,,208
2019132719-1133-AC,MONMOUTH,MANASQUAN BORO,02/03/2019,SU,1908,01,MANASQUAN PD,,0,0,0,0,P,I,N,N,02,2,MONMOUTH COUNTY 20,,20,,13000020__,1.91,05,,01,04,02,01,06,01,05,01,,AT,,MAIN ST,,,,30,25,26,,,N,,67
2019132719-11421-AC,MONMOUTH,MANASQUAN BORO,08/20/2019,TU,1035,01,MANASQUAN PD,,0,0,0,0,P,B,N,N,06,2,OCEAN AVE **,,,,,,07,,01,04,02,01,01,01,05,01,,,,,,,,25,,28,,,N,,223
2019132719-11433-AC,MONMOUTH,MANASQUAN BORO,08/20/2019,TU,1424,01,MANASQUAN PD,,0,1,0,0,I,B,N,N,14,1,BRIELLE RD / E MAIN ST / FIRST AVE / FISK AVE,,,,13081097__,1.52,07,,01,04,02,01,01,01,05,01,25,FE,W,GREEN BLVD / MEADOW AVE,,,,25,25,21,,,N,,61
2019132719-11519-AC,MONMOUTH,MANASQUAN BORO,08/22/2019,TH,1749,01,MANASQUAN PD,,0,0,0,0,P,B,N,N,11,2,107 TAYLOR AVE,,,,,,09,,01,04,02,01,01,01,05,01,,,,,,,,15,,69,,,N,,61
2019132719-11543-AC,MONMOUTH,MANASQUAN BORO,08/23/2019,FR,1048,01,MANASQUAN PD,,0,1,0,1,I,B,N,N,13,1,N MAIN ST **,,,,13271001__,.26,07,,01,04,02,01,01,05,05,01,10,FE,S,ELIZABETH AVE,,,,25,25,22,,,N,,62
2019132719-11658-AC,MONMOUTH,MANASQUAN BORO,08/24/2019,SA,1637,01,MANASQUAN PD,PATROL,0,0,0,0,P,B,N,N,05,2,SECOND AVE **,,,,13271012__,.45,07,,01,04,02,01,01,01,05,01,500,FE,N,OCEAN AVE,,,,25,25,26,,,N,,5757
2019132719-11660-AC,MONMOUTH,MANASQUAN BORO,08/24/2019,SA,1654,01,MANASQUAN PD,,0,0,0,0,P,B,N,N,03,2,BRIELLE RD / E MAIN ST / FIRST AVE / FISK AVE,,,,13081097__,2.23,07,,01,04,02,01,01,01,05,,75,FE,W,COLBY AVE,,,,25,25,26,,,N,,59
2019132719-11901-AC,MONMOUTH,MANASQUAN BORO,08/29/2019,TH,1536,01,MANASQUAN PD,,0,0,0,0,P,I,N,N,06,2,BRIELLE RD / E MAIN ST / FIRST AVE / FISK AVE,,,,13081097__,1.10,07,,01,04,02,01,01,01,05,01,,AT,,2ND AVE,,,,25,25,26,,,N,,223
2019132719-12189-AC,MONMOUTH,MANASQUAN BORO,09/01/2019,SU,1548,01,MANASQUAN PD,MANASQUAN,0,0,0,0,P,B,N,N,08,2,MAIN ST **,,,,13271082__,,07,,01,04,02,01,01,01,05,01,75,FE,E,VM PRESTON WAY,,,,25,25,28,,,N,,56
2019132719-12210-AC,MONMOUTH,MANASQUAN BORO,09/01/2019,SU,2128,01,MANASQUAN PD,,0,0,0,0,P,B,N,N,01,2,BRIELLE RD / E MAIN ST / FIRST AVE / FISK AVE,,,,13081097__,2.35,07,,01,04,02,01,06,01,05,01,150,FE,E,NJ 71 / UNION AVE,,,,25,30,26,,,N,,67
2019132719-12217-AC,MONMOUTH,MANASQUAN BORO,09/01/2019,SU,2149,01,MANASQUAN PD,PATROL,0,0,0,0,P,B,N,N,06,2,SECOND AVE **,,,,13271012__,.04,07,,01,04,02,01,04,01,05,01,200,FE,N,BRIELLE RD,,,,25,25,28,,,N,,3043
2019132719-12307-AC,MONMOUTH,MANASQUAN BORO,09/03/2019,TU,1304,01,MANASQUAN PD,,0,0,0,0,P,B,N,N,06,2,MAIN ST **,,,,13271082__,,07,,01,04,02,01,01,01,05,01,75,FE,W,NJ 71,,,,25,30,28,,,N,,67
2019132719-12500-AC,MONMOUTH,MANASQUAN BORO,09/08/2019,SU,1020,01,MANASQUAN PD,PATROL,0,1,0,0,I,B,N,N,14,1,ROUTE 524 SPUR,,524,S,00000524S_,3.24,05,,01,04,02,01,01,01,05,01,10,FE,W,OSBORN AVE,,,,35,25,26,,,N,,57
2019132719-12507-AC,MONMOUTH,MANASQUAN BORO,09/08/2019,SU,1706,01,MANASQUAN PD,PATROL,0,0,0,0,P,B,N,N,06,2,POMPANO AVE **,,,,13271011__,.00,07,,01,04,02,01,01,01,05,01,150,FE,W,THIRD AVE,,,,25,25,26,,,N,,56
2019132719-13022-AC,MONMOUTH,MANASQUAN BORO,09/21/2019,SA,1014,01,MANASQUAN PD,,0,1,0,0,I,I,N,N,01,2,BRIELLE RD / E MAIN ST / FIRST AVE / FISK AVE,,,,13081097__,1.00,07,,01,04,02,01,01,01,05,01,,AT,,4TH AVE,,,,25,25,26,,,N,,67
2019132719-13232-AC,MONMOUTH,MANASQUAN BORO,09/26/2019,TH,1937,01,MANASQUAN PD,,0,0,0,0,P,B,N,N,06,2,N MAIN ST **,,,,13271001__,.10,07,,01,04,02,01,06,01,05,01,75,FE,S,JAMES PL,,,,25,25,26,,,N,,65
2019132719-13253-AC,MONMOUTH,MANASQUAN BORO,09/27/2019,FR,1026,01,MANASQUAN PD,,0,1,0,0,I,B,N,N,06,3,MONMOUTH COUNTY 20,,20,,13000020__,2.38,05,,01,04,02,01,01,01,05,01,150,FE,N,BLAKEY AVE,,,,30,25,26,,,N,,
2019132719-13285-AC,MONMOUTH,MANASQUAN BORO,09/27/2019,FR,2348,01,MANASQUAN PD,,0,0,0,0,P,I,Y,N,03,2,NJ 71,,71,,00000071__,1.35,02,,03,04,02,01,06,01,05,01,,AT,,STOCKTON LAKE BLVD,,,,30,25,26,,,N,,67
2019132719-134-AC,MONMOUTH,MANASQUAN BORO,01/04/2019,FR,1124,01,MANASQUAN PD,,0,0,0,0,P,B,N,N,06,2,MORRIS AVE **,,,,13271047__,.21,07,,01,04,02,01,01,01,05,01,250,FE,W,NJ 71 / UNION AVE,,,,25,30,28,,,N,,67
2019132719-13731-AC,MONMOUTH,MANASQUAN BORO,10/09/2019,WE,1203,01,MANASQUAN PD,,0,1,0,0,I,I,N,N,01,2,ROUTE 524 SPUR,,524,S,00000524S_,3.39,05,,01,04,02,02,01,02,05,01,,AT,E,CR 20 / BROAD ST,,,,25,25,26,,,N,,62
2019132719-13854-AC,MONMOUTH,MANASQUAN BORO,10/12/2019,SA,2240,01,MANASQUAN PD,,0,0,0,0,P,B,Y,N,06,2,MONMOUTH COUNTY 20,,20,,13000020__,1.94,05,,01,04,02,01,06,01,05,01,150,FE,N,MAIN ST,,,,30,25,26,,,N,,67
2019132719-14084-AC,MONMOUTH,MANASQUAN BORO,10/18/2019,FR,1505,01,MANASQUAN PD,,0,0,0,0,P,B,N,N,06,2,6 MAIN ST,,,,,,09,,01,04,02,01,01,01,05,01,100,FE,N,CENTRAL AVE,,,,15,25,28,,,N,,66
2019132719-14118-AC,MONMOUTH,MANASQUAN BORO,10/19/2019,SA,2044,01,MANASQUAN PD,PATROL,0,0,0,0,P,B,N,N,11,1,COLBY AVE **,,,,13271030__,.19,07,,01,04,02,01,07,01,05,01,1000,FE,E,MAIN ST,,,,25,25,54,,,N,,57
2019132719-14178-AC,MONMOUTH,MANASQUAN BORO,10/21/2019,MO,1530,01,MANASQUAN PD,,0,0,0,0,P,I,N,N,02,2,LAKEWOOD RD,,,,,,07,,01,04,02,01,01,01,,01,,AT,,CR 20,,,,25,30,26,,,N,,67
2019132719-14253-AC,MONMOUTH,MANASQUAN BORO,10/23/2019,WE,1308,01,MANASQUAN PD,,0,0,0,0,P,I,N,N,03,2,BRIELLE RD / E MAIN ST / FIRST AVE / FISK AVE,,,,13081097__,.71,07,,01,04,02,01,01,01,05,01,,AT,,CLIMMER CLASS CIR,,,,25,25,26,,,N,,244
2019132719-14355-AC,MONMOUTH,MANASQUAN BORO,10/26/2019,SA,0748,01,MANASQUAN PD,,0,1,0,0,I,B,N,N,11,1,MONMOUTH COUNTY 49,,49,,13000049__,.13,05,,01,04,02,01,01,01,05,01,100,FE,W,NJ 71,,,,25,35,52,,,N,POLE # JC454MSN - JCP&L - 300 MADISON AVE MORRISTOWN NJ 07960,67
2019132719-14461-AC,MONMOUTH,MANASQUAN BORO,10/29/2019,TU,0924,01,MANASQUAN PD,,0,0,0,0,P,I,N,N,05,2,ABE VORHEES DR/EUCLID AVE/MORRIS AVE **,,,,13271047__,1.04,07,,01,04,02,02,01,02,05,01,,AT,,CR 20 / SOUTH ST,,,,25,30,26,,,N,,66
2019132719-14546-AC,MONMOUTH,MANASQUAN BORO,10/31/2019,TH,1428,01,MANASQUAN PD,MANASQUAN,0,0,0,0,P,B,N,N,01,2,NJ 71,,71,,00000071__,.78,02,,01,04,02,01,01,05,05,01,100,FE,N,MARCELLUS AVE,,,,30,25,26,,,N,,68
2019132719-14547-AC,MONMOUTH,MANASQUAN BORO,10/31/2019,TH,1447,01,MANASQUAN PD,MANASQUAN,0,0,0,0,P,I,N,N,03,2,MONMOUTH COUNTY 20,,20,,13000020__,1.77,05,,01,04,02,01,01,05,05,01,,AT,,CHURCH ST / CURTIS AVE,,,,30,25,26,,,N,,68
2019132719-14592-AC,MONMOUTH,MANASQUAN BORO,11/01/2019,FR,1751,01,MANASQUAN PD,,0,0,0,0,P,B,N,N,06,2,PEARCE AVE / VW PRESTON WAY **,,,,13271066__,.27,07,,01,04,02,00,00,00,05,01,100,FE,N,MAIN ST,,,,25,25,26,,,N,,61
2019132719-14899-AC,MONMOUTH,MANASQUAN BORO,11/09/2019,SA,2355,01,MANASQUAN PD,,0,0,0,0,P,B,N,N,11,1,NJ 71,,71,,00000071__,1.59,02,,01,04,02,01,06,01,05,05,250,FE,N,BLAKEY AVE,,,,35,25,52,,,N,MINOR DAMAGE TO POLE #JC 127 MSN - JCP&L - 300 MADISON AVE MORRISTOWN NJ 07960,67
